set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ;
param k := 11;
param m := 5;
set Edges :=  (1,2) (1,6) (2,3) (2,7) (2,1) (3,4) (3,8) (3,2) (4,5) (4,9) (4,3) (5,10) (5,4) (6,7) (6,11) (6,1) (7,8) (7,12) (7,6) (7,2) (8,9) (8,13) (8,7) (8,3) (9,10) (9,14) (9,8) (9,4) (10,5) (10,15) (10,9) (11,12) (11,16) (11,6) (12,13) (12,17) (12,11) (12,7) (13,14) (13,18) (13,12) (13,8) (14,15) (14,19) (14,13) (14,9) (15,10) (15,20) (15,14) (16,17) (16,21) (16,11) (17,18) (17,22) (17,16) (17,12) (18,19) (18,23) (18,17) (18,13) (19,20) (19,24) (19,18) (19,14) (20,15) (20,25) (20,19) (21,22) (21,16) (22,23) (22,17) (22,21) (23,24) (23,18) (23,22) (24,25) (24,19) (24,23) (25,20) (25,24) ;
set EdgesPrime :=  (1,2) (1,6) (2,3) (2,7) (2,1) (3,4) (3,8) (3,2) (4,5) (4,9) (4,3) (5,4) (5,10) (6,7) (6,1) (7,8) (7,12) (7,2) (7,6) (8,9) (8,13) (8,3) (8,7) (9,10) (9,14) (9,4) (9,8) (10,9) (10,15) (10,5) (12,13) (12,17) (12,7) (13,14) (13,18) (13,8) (13,12) (14,15) (14,19) (14,9) (14,13) (15,14) (15,20) (15,10) (16,17) (16,21) (17,18) (17,22) (17,12) (17,16) (18,19) (18,23) (18,13) (18,17) (19,20) (19,24) (19,14) (19,18) (20,19) (20,25) (20,15) (21,22) (21,16) (22,23) (22,17) (22,21) (23,24) (23,18) (23,22) (24,25) (24,19) (24,23) (25,24) (25,20) ;
param u :=          
   1 2  5
   1 6  4
   2 3  3
   2 7  1
   2 1  5
   3 4  1
   3 8  2
   3 2  3
   4 5  5
   4 9  1
   4 3  1
  5 10  5
   5 4  5
   6 7  5
  6 11  3
   6 1  4
   7 8  2
  7 12  5
   7 6  5
   7 2  1
   8 9  3
  8 13  3
   8 7  2
   8 3  2
  9 10  4
  9 14  1
   9 8  3
   9 4  1
  10 5  5
 10 15  4
  10 9  4
 11 12  4
 11 16  4
  11 6  3
 12 13  2
 12 17  3
 12 11  4
  12 7  5
 13 14  2
 13 18  4
 13 12  2
  13 8  3
 14 15  3
 14 19  3
 14 13  2
  14 9  1
 15 10  4
 15 20  3
 15 14  3
 16 17  3
 16 21  3
 16 11  4
 17 18  4
 17 22  1
 17 16  3
 17 12  3
 18 19  4
 18 23  3
 18 17  4
 18 13  4
 19 20  5
 19 24  2
 19 18  4
 19 14  3
 20 15  3
 20 25  3
 20 19  5
 21 22  2
 21 16  3
 22 23  1
 22 17  1
 22 21  2
 23 24  5
 23 18  3
 23 22  1
 24 25  2
 24 19  2
 24 23  5
 25 20  3
 25 24  2
;
