set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 ;
param k := 26;
param m := 1;
set Edges :=  (1,2) (1,8) (2,3) (2,9) (2,1) (3,4) (3,10) (3,2) (4,5) (4,11) (4,3) (5,6) (5,12) (5,4) (6,7) (6,13) (6,5) (7,14) (7,6) (8,9) (8,15) (8,1) (9,10) (9,16) (9,8) (9,2) (10,11) (10,17) (10,9) (10,3) (11,12) (11,18) (11,10) (11,4) (12,13) (12,19) (12,11) (12,5) (13,14) (13,20) (13,12) (13,6) (14,7) (14,21) (14,13) (15,16) (15,22) (15,8) (16,17) (16,23) (16,15) (16,9) (17,18) (17,24) (17,16) (17,10) (18,19) (18,25) (18,17) (18,11) (19,20) (19,26) (19,18) (19,12) (20,21) (20,27) (20,19) (20,13) (21,14) (21,28) (21,20) (22,23) (22,29) (22,15) (23,24) (23,30) (23,22) (23,16) (24,25) (24,31) (24,23) (24,17) (25,26) (25,32) (25,24) (25,18) (26,27) (26,33) (26,25) (26,19) (27,28) (27,34) (27,26) (27,20) (28,21) (28,35) (28,27) (29,30) (29,36) (29,22) (30,31) (30,37) (30,29) (30,23) (31,32) (31,38) (31,30) (31,24) (32,33) (32,39) (32,31) (32,25) (33,34) (33,40) (33,32) (33,26) (34,35) (34,41) (34,33) (34,27) (35,28) (35,42) (35,34) (36,37) (36,43) (36,29) (37,38) (37,44) (37,36) (37,30) (38,39) (38,45) (38,37) (38,31) (39,40) (39,46) (39,38) (39,32) (40,41) (40,47) (40,39) (40,33) (41,42) (41,48) (41,40) (41,34) (42,35) (42,49) (42,41) (43,44) (43,36) (44,45) (44,37) (44,43) (45,46) (45,38) (45,44) (46,47) (46,39) (46,45) (47,48) (47,40) (47,46) (48,49) (48,41) (48,47) (49,42) (49,48) ;
set EdgesPrime :=  (1,2) (1,8) (2,3) (2,9) (2,1) (3,4) (3,10) (3,2) (4,5) (4,11) (4,3) (5,6) (5,12) (5,4) (6,7) (6,13) (6,5) (7,6) (7,14) (8,9) (8,15) (8,1) (9,10) (9,16) (9,2) (9,8) (10,11) (10,17) (10,3) (10,9) (11,12) (11,18) (11,4) (11,10) (12,13) (12,19) (12,5) (12,11) (13,14) (13,20) (13,6) (13,12) (14,13) (14,21) (14,7) (15,16) (15,22) (15,8) (16,17) (16,23) (16,9) (16,15) (17,18) (17,24) (17,10) (17,16) (18,19) (18,25) (18,11) (18,17) (19,20) (19,12) (19,18) (20,21) (20,27) (20,13) (20,19) (21,20) (21,28) (21,14) (22,23) (22,29) (22,15) (23,24) (23,30) (23,16) (23,22) (24,25) (24,31) (24,17) (24,23) (25,32) (25,18) (25,24) (27,28) (27,34) (27,20) (28,27) (28,35) (28,21) (29,30) (29,36) (29,22) (30,31) (30,37) (30,23) (30,29) (31,32) (31,38) (31,24) (31,30) (32,33) (32,39) (32,25) (32,31) (33,34) (33,40) (33,32) (34,35) (34,41) (34,27) (34,33) (35,34) (35,42) (35,28) (36,37) (36,43) (36,29) (37,38) (37,44) (37,30) (37,36) (38,39) (38,45) (38,31) (38,37) (39,40) (39,46) (39,32) (39,38) (40,41) (40,47) (40,33) (40,39) (41,42) (41,48) (41,34) (41,40) (42,41) (42,49) (42,35) (43,44) (43,36) (44,45) (44,37) (44,43) (45,46) (45,38) (45,44) (46,47) (46,39) (46,45) (47,48) (47,40) (47,46) (48,49) (48,41) (48,47) (49,48) (49,42) ;
param u :=          
   1 2  7
   1 8  3
   2 3  4
   2 9  6
   2 1  7
   3 4  4
  3 10  6
   3 2  4
   4 5  2
  4 11  2
   4 3  4
   5 6  7
  5 12  7
   5 4  2
   6 7  6
  6 13  7
   6 5  7
  7 14  3
   7 6  6
   8 9  5
  8 15  7
   8 1  3
  9 10  2
  9 16  2
   9 8  5
   9 2  6
 10 11  6
 10 17  3
  10 9  2
  10 3  6
 11 12  1
 11 18  3
 11 10  6
  11 4  2
 12 13  6
 12 19  1
 12 11  1
  12 5  7
 13 14  6
 13 20  2
 13 12  6
  13 6  7
  14 7  3
 14 21  7
 14 13  6
 15 16  4
 15 22  2
  15 8  7
 16 17  2
 16 23  5
 16 15  4
  16 9  2
 17 18  5
 17 24  7
 17 16  2
 17 10  3
 18 19  4
 18 25  7
 18 17  5
 18 11  3
 19 20  6
 19 26  2
 19 18  4
 19 12  1
 20 21  7
 20 27  2
 20 19  6
 20 13  2
 21 14  7
 21 28  2
 21 20  7
 22 23  4
 22 29  6
 22 15  2
 23 24  3
 23 30  7
 23 22  4
 23 16  5
 24 25  5
 24 31  4
 24 23  3
 24 17  7
 25 26  7
 25 32  1
 25 24  5
 25 18  7
 26 27  2
 26 33  7
 26 25  7
 26 19  2
 27 28  7
 27 34  5
 27 26  2
 27 20  2
 28 21  2
 28 35  2
 28 27  7
 29 30  4
 29 36  4
 29 22  6
 30 31  7
 30 37  1
 30 29  4
 30 23  7
 31 32  5
 31 38  6
 31 30  7
 31 24  4
 32 33  6
 32 39  6
 32 31  5
 32 25  1
 33 34  6
 33 40  6
 33 32  6
 33 26  7
 34 35  7
 34 41  4
 34 33  6
 34 27  5
 35 28  2
 35 42  1
 35 34  7
 36 37  2
 36 43  4
 36 29  4
 37 38  4
 37 44  7
 37 36  2
 37 30  1
 38 39  3
 38 45  1
 38 37  4
 38 31  6
 39 40  4
 39 46  3
 39 38  3
 39 32  6
 40 41  4
 40 47  6
 40 39  4
 40 33  6
 41 42  1
 41 48  5
 41 40  4
 41 34  4
 42 35  1
 42 49  2
 42 41  1
 43 44  6
 43 36  4
 44 45  7
 44 37  7
 44 43  6
 45 46  1
 45 38  1
 45 44  7
 46 47  3
 46 39  3
 46 45  1
 47 48  4
 47 40  6
 47 46  3
 48 49  5
 48 41  5
 48 47  4
 49 42  2
 49 48  5
;
