set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 ;
param k := 24;
param m := 1;
set Edges :=  (1,2) (1,7) (2,3) (2,8) (2,1) (3,4) (3,9) (3,2) (4,5) (4,10) (4,3) (5,6) (5,11) (5,4) (6,12) (6,5) (7,8) (7,13) (7,1) (8,9) (8,14) (8,7) (8,2) (9,10) (9,15) (9,8) (9,3) (10,11) (10,16) (10,9) (10,4) (11,12) (11,17) (11,10) (11,5) (12,6) (12,18) (12,11) (13,14) (13,19) (13,7) (14,15) (14,20) (14,13) (14,8) (15,16) (15,21) (15,14) (15,9) (16,17) (16,22) (16,15) (16,10) (17,18) (17,23) (17,16) (17,11) (18,12) (18,24) (18,17) (19,20) (19,25) (19,13) (20,21) (20,26) (20,19) (20,14) (21,22) (21,27) (21,20) (21,15) (22,23) (22,28) (22,21) (22,16) (23,24) (23,29) (23,22) (23,17) (24,18) (24,30) (24,23) (25,26) (25,31) (25,19) (26,27) (26,32) (26,25) (26,20) (27,28) (27,33) (27,26) (27,21) (28,29) (28,34) (28,27) (28,22) (29,30) (29,35) (29,28) (29,23) (30,24) (30,36) (30,29) (31,32) (31,25) (32,33) (32,26) (32,31) (33,34) (33,27) (33,32) (34,35) (34,28) (34,33) (35,36) (35,29) (35,34) (36,30) (36,35) ;
set EdgesPrime :=  (1,2) (1,7) (2,3) (2,8) (2,1) (3,4) (3,9) (3,2) (4,5) (4,10) (4,3) (5,6) (5,11) (5,4) (6,5) (6,12) (7,8) (7,13) (7,1) (8,9) (8,14) (8,2) (8,7) (9,10) (9,15) (9,3) (9,8) (10,11) (10,16) (10,4) (10,9) (11,12) (11,17) (11,5) (11,10) (12,11) (12,18) (12,6) (13,14) (13,19) (13,7) (14,15) (14,20) (14,8) (14,13) (15,16) (15,21) (15,9) (15,14) (16,17) (16,22) (16,10) (16,15) (17,18) (17,23) (17,11) (17,16) (18,17) (18,12) (19,20) (19,25) (19,13) (20,21) (20,26) (20,14) (20,19) (21,22) (21,27) (21,15) (21,20) (22,23) (22,28) (22,16) (22,21) (23,29) (23,17) (23,22) (25,26) (25,31) (25,19) (26,27) (26,32) (26,20) (26,25) (27,28) (27,33) (27,21) (27,26) (28,29) (28,34) (28,22) (28,27) (29,30) (29,35) (29,23) (29,28) (30,29) (30,36) (31,32) (31,25) (32,33) (32,26) (32,31) (33,34) (33,27) (33,32) (34,35) (34,28) (34,33) (35,36) (35,29) (35,34) (36,35) (36,30) ;
param u :=          
   1 2  4
   1 7  4
   2 3  3
   2 8  4
   2 1  4
   3 4  4
   3 9  2
   3 2  3
   4 5  5
  4 10  4
   4 3  4
   5 6  2
  5 11  4
   5 4  5
  6 12  5
   6 5  2
   7 8  6
  7 13  1
   7 1  4
   8 9  1
  8 14  5
   8 7  6
   8 2  4
  9 10  6
  9 15  6
   9 8  1
   9 3  2
 10 11  4
 10 16  2
  10 9  6
  10 4  4
 11 12  4
 11 17  6
 11 10  4
  11 5  4
  12 6  5
 12 18  3
 12 11  4
 13 14  2
 13 19  1
  13 7  1
 14 15  6
 14 20  1
 14 13  2
  14 8  5
 15 16  2
 15 21  2
 15 14  6
  15 9  6
 16 17  3
 16 22  6
 16 15  2
 16 10  2
 17 18  3
 17 23  6
 17 16  3
 17 11  6
 18 12  3
 18 24  1
 18 17  3
 19 20  3
 19 25  2
 19 13  1
 20 21  5
 20 26  5
 20 19  3
 20 14  1
 21 22  4
 21 27  5
 21 20  5
 21 15  2
 22 23  5
 22 28  4
 22 21  4
 22 16  6
 23 24  1
 23 29  1
 23 22  5
 23 17  6
 24 18  1
 24 30  6
 24 23  1
 25 26  1
 25 31  2
 25 19  2
 26 27  5
 26 32  2
 26 25  1
 26 20  5
 27 28  6
 27 33  2
 27 26  5
 27 21  5
 28 29  1
 28 34  3
 28 27  6
 28 22  4
 29 30  2
 29 35  4
 29 28  1
 29 23  1
 30 24  6
 30 36  3
 30 29  2
 31 32  6
 31 25  2
 32 33  6
 32 26  2
 32 31  6
 33 34  1
 33 27  2
 33 32  6
 34 35  4
 34 28  3
 34 33  1
 35 36  3
 35 29  4
 35 34  4
 36 30  3
 36 35  3
;
