set Vertices := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ; 
param k := 24;
param m := 5;
set Edges := (0,12) (0,15) (0,11) (0,2) (1,17) (1,9) (2,14) (2,7) (2,16) (2,24) (2,8) (2,10) (3,16) (3,18) (4,13) (5,13) (5,8) (5,23) (6,16) (6,19) (7,24) (8,24) (8,12) (8,19) (8,22) (9,12) (9,23) (10,15) (10,12) (11,17) (12,20) (13,23) (14,24) (14,23) (15,21) (16,18) (16,23) (18,21) (20,23) (21,22) ;
set EdgesPrime := (0,12) (0,15) (0,11) (0,2) (1,17) (1,9) (2,14) (2,7) (2,16) (2,8) (2,10) (3,16) (3,18) (4,13) (5,13) (5,8) (5,23) (6,16) (6,19) (8,12) (8,19) (8,22) (9,12) (9,23) (10,15) (10,12) (11,17) (12,20) (13,23) (14,23) (15,21) (16,18) (16,23) (18,21) (20,23) (21,22) ;
param u := 
0 12 3
0 15 1
0 11 3
0 2 3
1 17 5
1 9 3
2 14 4
2 7 5
2 16 1
2 24 5
2 8 1
2 10 5
3 16 5
3 18 3
4 13 3
5 13 3
5 8 4
5 23 3
6 16 4
6 19 5
7 24 4
8 24 2
8 12 3
8 19 1
8 22 1
9 12 5
9 23 5
10 15 2
10 12 5
11 17 1
12 20 2
13 23 1
14 24 1
14 23 2
15 21 3
16 18 3
16 23 5
18 21 1
20 23 2
21 22 5
; 
param w := 
0 1
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
;
