set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 ;
param k := 23;
param m := 1;
set Edges :=  (1,2) (1,7) (2,3) (2,8) (2,1) (3,4) (3,9) (3,2) (4,5) (4,10) (4,3) (5,6) (5,11) (5,4) (6,12) (6,5) (7,8) (7,13) (7,1) (8,9) (8,14) (8,7) (8,2) (9,10) (9,15) (9,8) (9,3) (10,11) (10,16) (10,9) (10,4) (11,12) (11,17) (11,10) (11,5) (12,6) (12,18) (12,11) (13,14) (13,19) (13,7) (14,15) (14,20) (14,13) (14,8) (15,16) (15,21) (15,14) (15,9) (16,17) (16,22) (16,15) (16,10) (17,18) (17,23) (17,16) (17,11) (18,12) (18,24) (18,17) (19,20) (19,25) (19,13) (20,21) (20,26) (20,19) (20,14) (21,22) (21,27) (21,20) (21,15) (22,23) (22,28) (22,21) (22,16) (23,24) (23,29) (23,22) (23,17) (24,18) (24,30) (24,23) (25,26) (25,31) (25,19) (26,27) (26,32) (26,25) (26,20) (27,28) (27,33) (27,26) (27,21) (28,29) (28,34) (28,27) (28,22) (29,30) (29,35) (29,28) (29,23) (30,24) (30,36) (30,29) (31,32) (31,25) (32,33) (32,26) (32,31) (33,34) (33,27) (33,32) (34,35) (34,28) (34,33) (35,36) (35,29) (35,34) (36,30) (36,35) ;
set EdgesPrime :=  (1,2) (1,7) (2,3) (2,8) (2,1) (3,4) (3,9) (3,2) (4,5) (4,10) (4,3) (5,6) (5,11) (5,4) (6,5) (6,12) (7,8) (7,13) (7,1) (8,9) (8,14) (8,2) (8,7) (9,10) (9,15) (9,3) (9,8) (10,11) (10,16) (10,4) (10,9) (11,12) (11,17) (11,5) (11,10) (12,11) (12,18) (12,6) (13,14) (13,19) (13,7) (14,15) (14,20) (14,8) (14,13) (15,16) (15,21) (15,9) (15,14) (16,17) (16,22) (16,10) (16,15) (17,18) (17,11) (17,16) (18,17) (18,24) (18,12) (19,20) (19,25) (19,13) (20,21) (20,26) (20,14) (20,19) (21,22) (21,27) (21,15) (21,20) (22,28) (22,16) (22,21) (24,30) (24,18) (25,26) (25,31) (25,19) (26,27) (26,32) (26,20) (26,25) (27,28) (27,33) (27,21) (27,26) (28,29) (28,34) (28,22) (28,27) (29,30) (29,35) (29,28) (30,29) (30,36) (30,24) (31,32) (31,25) (32,33) (32,26) (32,31) (33,34) (33,27) (33,32) (34,35) (34,28) (34,33) (35,36) (35,29) (35,34) (36,35) (36,30) ;
param u :=          
   1 2  4
   1 7  3
   2 3  5
   2 8  3
   2 1  4
   3 4  3
   3 9  4
   3 2  5
   4 5  3
  4 10  4
   4 3  3
   5 6  4
  5 11  5
   5 4  3
  6 12  3
   6 5  4
   7 8  1
  7 13  6
   7 1  3
   8 9  1
  8 14  4
   8 7  1
   8 2  3
  9 10  5
  9 15  4
   9 8  1
   9 3  4
 10 11  4
 10 16  4
  10 9  5
  10 4  4
 11 12  5
 11 17  3
 11 10  4
  11 5  5
  12 6  3
 12 18  5
 12 11  5
 13 14  3
 13 19  1
  13 7  6
 14 15  1
 14 20  6
 14 13  3
  14 8  4
 15 16  1
 15 21  2
 15 14  1
  15 9  4
 16 17  2
 16 22  1
 16 15  1
 16 10  4
 17 18  5
 17 23  5
 17 16  2
 17 11  3
 18 12  5
 18 24  6
 18 17  5
 19 20  1
 19 25  3
 19 13  1
 20 21  2
 20 26  5
 20 19  1
 20 14  6
 21 22  6
 21 27  1
 21 20  2
 21 15  2
 22 23  1
 22 28  2
 22 21  6
 22 16  1
 23 24  2
 23 29  4
 23 22  1
 23 17  5
 24 18  6
 24 30  5
 24 23  2
 25 26  1
 25 31  1
 25 19  3
 26 27  6
 26 32  5
 26 25  1
 26 20  5
 27 28  6
 27 33  4
 27 26  6
 27 21  1
 28 29  5
 28 34  6
 28 27  6
 28 22  2
 29 30  3
 29 35  6
 29 28  5
 29 23  4
 30 24  5
 30 36  5
 30 29  3
 31 32  3
 31 25  1
 32 33  5
 32 26  5
 32 31  3
 33 34  6
 33 27  4
 33 32  5
 34 35  6
 34 28  6
 34 33  6
 35 36  1
 35 29  6
 35 34  6
 36 30  5
 36 35  1
;
