set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 ;
param k := 11;
param m := 7;
set Edges :=  (1,2) (1,8) (2,3) (2,9) (2,1) (3,4) (3,10) (3,2) (4,5) (4,11) (4,3) (5,6) (5,12) (5,4) (6,7) (6,13) (6,5) (7,14) (7,6) (8,9) (8,15) (8,1) (9,10) (9,16) (9,8) (9,2) (10,11) (10,17) (10,9) (10,3) (11,12) (11,18) (11,10) (11,4) (12,13) (12,19) (12,11) (12,5) (13,14) (13,20) (13,12) (13,6) (14,7) (14,21) (14,13) (15,16) (15,22) (15,8) (16,17) (16,23) (16,15) (16,9) (17,18) (17,24) (17,16) (17,10) (18,19) (18,25) (18,17) (18,11) (19,20) (19,26) (19,18) (19,12) (20,21) (20,27) (20,19) (20,13) (21,14) (21,28) (21,20) (22,23) (22,29) (22,15) (23,24) (23,30) (23,22) (23,16) (24,25) (24,31) (24,23) (24,17) (25,26) (25,32) (25,24) (25,18) (26,27) (26,33) (26,25) (26,19) (27,28) (27,34) (27,26) (27,20) (28,21) (28,35) (28,27) (29,30) (29,36) (29,22) (30,31) (30,37) (30,29) (30,23) (31,32) (31,38) (31,30) (31,24) (32,33) (32,39) (32,31) (32,25) (33,34) (33,40) (33,32) (33,26) (34,35) (34,41) (34,33) (34,27) (35,28) (35,42) (35,34) (36,37) (36,43) (36,29) (37,38) (37,44) (37,36) (37,30) (38,39) (38,45) (38,37) (38,31) (39,40) (39,46) (39,38) (39,32) (40,41) (40,47) (40,39) (40,33) (41,42) (41,48) (41,40) (41,34) (42,35) (42,49) (42,41) (43,44) (43,36) (44,45) (44,37) (44,43) (45,46) (45,38) (45,44) (46,47) (46,39) (46,45) (47,48) (47,40) (47,46) (48,49) (48,41) (48,47) (49,42) (49,48) ;
set EdgesPrime :=  (1,2) (1,8) (2,3) (2,9) (2,1) (3,4) (3,10) (3,2) (4,5) (4,3) (5,6) (5,12) (5,4) (6,7) (6,13) (6,5) (7,6) (7,14) (8,9) (8,15) (8,1) (9,10) (9,16) (9,2) (9,8) (10,17) (10,3) (10,9) (12,13) (12,19) (12,5) (13,14) (13,20) (13,6) (13,12) (14,13) (14,21) (14,7) (15,16) (15,22) (15,8) (16,17) (16,23) (16,9) (16,15) (17,18) (17,24) (17,10) (17,16) (18,19) (18,25) (18,17) (19,20) (19,26) (19,12) (19,18) (20,21) (20,27) (20,13) (20,19) (21,20) (21,28) (21,14) (22,23) (22,29) (22,15) (23,24) (23,30) (23,16) (23,22) (24,25) (24,31) (24,17) (24,23) (25,26) (25,32) (25,18) (25,24) (26,27) (26,33) (26,19) (26,25) (27,28) (27,34) (27,20) (27,26) (28,27) (28,35) (28,21) (29,30) (29,36) (29,22) (30,31) (30,37) (30,23) (30,29) (31,32) (31,38) (31,24) (31,30) (32,33) (32,39) (32,25) (32,31) (33,34) (33,40) (33,26) (33,32) (34,35) (34,41) (34,27) (34,33) (35,34) (35,42) (35,28) (36,37) (36,43) (36,29) (37,38) (37,44) (37,30) (37,36) (38,39) (38,45) (38,31) (38,37) (39,40) (39,46) (39,32) (39,38) (40,41) (40,47) (40,33) (40,39) (41,42) (41,48) (41,34) (41,40) (42,41) (42,49) (42,35) (43,44) (43,36) (44,45) (44,37) (44,43) (45,46) (45,38) (45,44) (46,47) (46,39) (46,45) (47,48) (47,40) (47,46) (48,49) (48,41) (48,47) (49,48) (49,42) ;
param u :=          
   1 2  3
   1 8  7
   2 3  1
   2 9  3
   2 1  3
   3 4  7
  3 10  2
   3 2  1
   4 5  4
  4 11  7
   4 3  7
   5 6  1
  5 12  2
   5 4  4
   6 7  5
  6 13  6
   6 5  1
  7 14  5
   7 6  5
   8 9  7
  8 15  3
   8 1  7
  9 10  1
  9 16  7
   9 8  7
   9 2  3
 10 11  4
 10 17  4
  10 9  1
  10 3  2
 11 12  3
 11 18  3
 11 10  4
  11 4  7
 12 13  2
 12 19  7
 12 11  3
  12 5  2
 13 14  7
 13 20  5
 13 12  2
  13 6  6
  14 7  5
 14 21  4
 14 13  7
 15 16  5
 15 22  4
  15 8  3
 16 17  6
 16 23  4
 16 15  5
  16 9  7
 17 18  5
 17 24  1
 17 16  6
 17 10  4
 18 19  6
 18 25  1
 18 17  5
 18 11  3
 19 20  1
 19 26  4
 19 18  6
 19 12  7
 20 21  3
 20 27  4
 20 19  1
 20 13  5
 21 14  4
 21 28  5
 21 20  3
 22 23  1
 22 29  5
 22 15  4
 23 24  6
 23 30  1
 23 22  1
 23 16  4
 24 25  2
 24 31  3
 24 23  6
 24 17  1
 25 26  6
 25 32  5
 25 24  2
 25 18  1
 26 27  2
 26 33  2
 26 25  6
 26 19  4
 27 28  1
 27 34  1
 27 26  2
 27 20  4
 28 21  5
 28 35  2
 28 27  1
 29 30  2
 29 36  3
 29 22  5
 30 31  7
 30 37  2
 30 29  2
 30 23  1
 31 32  1
 31 38  2
 31 30  7
 31 24  3
 32 33  2
 32 39  5
 32 31  1
 32 25  5
 33 34  3
 33 40  3
 33 32  2
 33 26  2
 34 35  7
 34 41  5
 34 33  3
 34 27  1
 35 28  2
 35 42  3
 35 34  7
 36 37  6
 36 43  2
 36 29  3
 37 38  7
 37 44  3
 37 36  6
 37 30  2
 38 39  7
 38 45  6
 38 37  7
 38 31  2
 39 40  7
 39 46  5
 39 38  7
 39 32  5
 40 41  7
 40 47  7
 40 39  7
 40 33  3
 41 42  5
 41 48  6
 41 40  7
 41 34  5
 42 35  3
 42 49  3
 42 41  5
 43 44  3
 43 36  2
 44 45  3
 44 37  3
 44 43  3
 45 46  1
 45 38  6
 45 44  3
 46 47  3
 46 39  5
 46 45  1
 47 48  5
 47 40  7
 47 46  3
 48 49  2
 48 41  6
 48 47  5
 49 42  3
 49 48  2
;
