set Vertices := 0 2 3 4 5 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 35 36 37 38 39 41 42 43 44 45 46 48 49 50 51 52 53 54 56 57 59 60 61 62 63 64 65 66 67 68 69 70 ; 
param k := 63;
param m := 1;
set Edges := (0,41) (0,19) (0,4) (2,31) (2,15) (3,41) (3,14) (3,6) (3,43) (4,60) (4,6) (4,21) (5,25) (5,36) (5,20) (5,16) (6,32) (6,62) (6,56) (6,14) (6,10) (6,28) (7,51) (7,59) (7,63) (8,49) (8,24) (8,45) (8,46) (8,57) (8,68) (9,36) (9,14) (10,60) (10,36) (10,61) (10,46) (12,59) (12,22) (12,49) (12,56) (13,42) (13,45) (13,43) (14,16) (14,56) (14,63) (14,22) (14,46) (14,33) (14,31) (14,60) (14,50) (15,52) (15,63) (15,64) (16,49) (18,20) (18,52) (18,61) (19,33) (19,46) (19,37) (20,59) (20,61) (21,28) (21,43) (22,29) (23,63) (23,45) (23,31) (24,28) (24,38) (25,56) (26,62) (26,43) (29,45) (29,51) (30,51) (30,53) (32,42) (33,44) (33,57) (34,43) (34,62) (35,48) (35,54) (35,53) (35,65) (35,66) (36,59) (36,57) (36,62) (37,51) (38,44) (38,42) (39,41) (39,61) (41,59) (42,54) (43,45) (45,54) (45,49) (46,53) (48,56) (49,56) (49,67) (50,56) (50,62) (61,69) (61,70) ;
set EdgesPrime := (0,41) (0,19) (0,4) (2,31) (2,15) (3,41) (3,14) (3,6) (3,43) (4,60) (4,6) (4,21) (5,25) (5,36) (5,20) (5,16) (6,32) (6,62) (6,56) (6,14) (6,10) (6,28) (7,51) (7,59) (8,49) (8,24) (8,45) (8,46) (8,57) (8,68) (9,36) (9,14) (10,60) (10,36) (10,61) (10,46) (12,59) (12,22) (12,49) (12,56) (13,42) (13,45) (13,43) (14,16) (14,56) (14,22) (14,46) (14,33) (14,31) (14,60) (14,50) (15,52) (15,64) (16,49) (18,20) (18,52) (18,61) (19,33) (19,46) (19,37) (20,59) (20,61) (21,28) (21,43) (22,29) (23,45) (23,31) (24,28) (24,38) (25,56) (26,62) (26,43) (29,45) (29,51) (30,51) (30,53) (32,42) (33,44) (33,57) (34,43) (34,62) (35,48) (35,54) (35,53) (35,65) (35,66) (36,59) (36,57) (36,62) (37,51) (38,44) (38,42) (39,41) (39,61) (41,59) (42,54) (43,45) (45,54) (45,49) (46,53) (48,56) (49,56) (49,67) (50,56) (50,62) (61,69) (61,70) ;
param u := 
0 41 6
0 19 7
0 4 8
2 31 7
2 15 7
3 41 5
3 14 4
3 6 5
3 43 3
4 60 1
4 6 2
4 21 6
5 25 1
5 36 5
5 20 3
5 16 1
6 32 6
6 62 3
6 56 4
6 14 2
6 10 1
6 28 8
7 51 8
7 59 6
7 63 4
8 49 7
8 24 6
8 45 3
8 46 6
8 57 1
8 68 4
9 36 2
9 14 3
10 60 5
10 36 5
10 61 8
10 46 3
12 59 4
12 22 8
12 49 7
12 56 2
13 42 6
13 45 7
13 43 5
14 16 2
14 56 5
14 63 8
14 22 3
14 46 1
14 33 4
14 31 2
14 60 3
14 50 4
15 52 4
15 63 2
15 64 7
16 49 5
18 20 5
18 52 7
18 61 7
19 33 6
19 46 7
19 37 6
20 59 5
20 61 1
21 28 2
21 43 4
22 29 2
23 63 1
23 45 2
23 31 5
24 28 4
24 38 3
25 56 6
26 62 8
26 43 1
29 45 1
29 51 2
30 51 7
30 53 1
32 42 3
33 44 8
33 57 3
34 43 3
34 62 2
35 48 6
35 54 7
35 53 7
35 65 4
35 66 5
36 59 2
36 57 5
36 62 4
37 51 4
38 44 8
38 42 8
39 41 3
39 61 6
41 59 6
42 54 6
43 45 3
45 54 6
45 49 7
46 53 3
48 56 4
49 56 3
49 67 8
50 56 1
50 62 7
61 69 7
61 70 2
; 
param w := 
0 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
12 1
13 1
14 1
15 1
16 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
41 1
42 1
43 1
44 1
45 1
46 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
56 1
57 1
59 1
60 1
61 1
62 1
63 1
64 1
65 1
66 1
67 2
68 1
69 1
70 1
;
